time_step,episode_reward
11,11.0
11,11.0
13,13.0
25,25.0
13,13.0
31,31.0
25,25.0
16,16.0
10,10.0
14,14.0
20,20.0
24,24.0
19,19.0
14,14.0
10,10.0
14,14.0
11,11.0
36,36.0
12,12.0
16,16.0
16,16.0
10,10.0
9,9.0
23,23.0
21,21.0
15,15.0
21,21.0
14,14.0
15,15.0
16,16.0
27,27.0
15,15.0
15,15.0
15,15.0
38,38.0
35,35.0
12,12.0
27,27.0
9,9.0
11,11.0
40,40.0
14,14.0
20,20.0
15,15.0
11,11.0
25,25.0
14,14.0
12,12.0
10,10.0
15,15.0
17,17.0
17,17.0
11,11.0
11,11.0
41,41.0
12,12.0
22,22.0
37,37.0
18,18.0
31,31.0
12,12.0
34,34.0
16,16.0
51,51.0
15,15.0
21,21.0
63,63.0
11,11.0
28,28.0
29,29.0
16,16.0
36,36.0
45,45.0
17,17.0
44,44.0
15,15.0
11,11.0
33,33.0
22,22.0
15,15.0
28,28.0
19,19.0
46,46.0
10,10.0
36,36.0
53,53.0
39,39.0
12,12.0
29,29.0
16,16.0
36,36.0
67,67.0
16,16.0
19,19.0
21,21.0
64,64.0
25,25.0
15,15.0
49,49.0
27,27.0
93,93.0
31,31.0
44,44.0
89,89.0
15,15.0
33,33.0
20,20.0
47,47.0
44,44.0
38,38.0
41,41.0
48,48.0
45,45.0
9,9.0
48,48.0
35,35.0
41,41.0
20,20.0
27,27.0
27,27.0
32,32.0
74,74.0
55,55.0
122,122.0
69,69.0
26,26.0
79,79.0
63,63.0
15,15.0
51,51.0
125,125.0
25,25.0
85,85.0
15,15.0
111,111.0
65,65.0
117,117.0
100,100.0
126,126.0
40,40.0
50,50.0
57,57.0
97,97.0
10,10.0
74,74.0
78,78.0
20,20.0
52,52.0
53,53.0
146,146.0
22,22.0
185,185.0
94,94.0
75,75.0
73,73.0
90,90.0
78,78.0
52,52.0
46,46.0
129,129.0
85,85.0
95,95.0
131,131.0
151,151.0
108,108.0
47,47.0
200,200.0
56,56.0
105,105.0
145,145.0
99,99.0
119,119.0
200,200.0
111,111.0
86,86.0
189,189.0
200,200.0
156,156.0
200,200.0
200,200.0
118,118.0
77,77.0
183,183.0
161,161.0
117,117.0
71,71.0
200,200.0
195,195.0
93,93.0
81,81.0
200,200.0
184,184.0
107,107.0
159,159.0
50,50.0
142,142.0
121,121.0
200,200.0
168,168.0
176,176.0
200,200.0
166,166.0
101,101.0
109,109.0
200,200.0
182,182.0
30,30.0
200,200.0
200,200.0
200,200.0
171,171.0
62,62.0
177,177.0
135,135.0
142,142.0
197,197.0
122,122.0
107,107.0
145,145.0
133,133.0
200,200.0
200,200.0
200,200.0
200,200.0
200,200.0
61,61.0
151,151.0
74,74.0
87,87.0
110,110.0
56,56.0
148,148.0
200,200.0
195,195.0
200,200.0
161,161.0
24,24.0
99,99.0
139,139.0
157,157.0
200,200.0
174,174.0
200,200.0
200,200.0
114,114.0
108,108.0
95,95.0
113,113.0
200,200.0
124,124.0
